symbol,published_at,title,summary,source,url,category,event_type,sentiment_score,relevance_score,impact_score,risk_flag
MSFT,2026-07-05T07:30:00+00:00,Microsoft expands Azure AI capacity,Sample item: Azure AI infrastructure expansion supports cloud and AI demand.,Atlas Sample News,https://example.com/msft-ai,company,product,0.52,88,82,false
MSFT,2026-07-04T12:45:00+00:00,Analysts highlight resilient enterprise software demand,Sample item: enterprise software checks remain constructive for Microsoft.,Atlas Sample News,https://example.com/msft-software,company,analyst,0.35,74,66,false
MSFT,2026-07-03T09:00:00+00:00,Regulatory debate on cloud concentration remains active,Sample item: cloud market concentration remains a watch item for mega-cap platforms.,Atlas Sample News,https://example.com/msft-regulation,company,regulatory,-0.25,63,58,true
NVDA,2026-07-05T08:10:00+00:00,NVIDIA data center demand remains strong,Sample item: data center demand and AI accelerator order flow remain a positive catalyst.,Atlas Sample News,https://example.com/nvda-demand,company,demand,0.64,92,90,false
NVDA,2026-07-04T15:20:00+00:00,AI chip export restrictions stay in focus,Sample item: export controls remain a portfolio risk flag for high-beta semiconductor exposure.,Atlas Sample News,https://example.com/nvda-export,company,regulatory,-0.38,78,71,true
NVDA,2026-07-02T14:00:00+00:00,Semiconductor sector leads market breadth,Sample item: semiconductor leadership supports momentum but raises crowding risk.,Atlas Sample News,https://example.com/semis-breadth,sector,sector_rotation,0.45,84,78,false
V,2026-07-05T06:55:00+00:00,Visa payment volumes remain stable,Sample item: payment-volume resilience supports quality and defensive growth characteristics.,Atlas Sample News,https://example.com/visa-volumes,company,operating_update,0.42,82,72,false
V,2026-07-04T11:20:00+00:00,Payment networks benefit from travel spending,Sample item: cross-border and travel spending provide incremental support.,Atlas Sample News,https://example.com/visa-travel,company,macro,0.31,70,62,false
V,2026-07-03T17:05:00+00:00,Regulatory scrutiny of card fees continues,Sample item: interchange-fee regulation remains a known long-term risk.,Atlas Sample News,https://example.com/visa-fees,company,regulatory,-0.30,68,65,true
CRWD,2026-07-05T08:30:00+00:00,Cybersecurity budgets stay resilient,Sample item: enterprise cybersecurity spending remains a strong secular tailwind.,Atlas Sample News,https://example.com/crwd-cyber,company,sector_demand,0.50,86,80,false
CRWD,2026-07-04T13:10:00+00:00,Security software peers report strong renewal rates,Sample item: renewal-rate strength supports recurring revenue assumptions in cybersecurity.,Atlas Sample News,https://example.com/crwd-renewals,sector,peer_readthrough,0.39,72,68,false
CRWD,2026-07-03T10:25:00+00:00,High-growth software valuations remain sensitive to rates,Sample item: valuation sensitivity is a risk if bond yields move higher.,Atlas Sample News,https://example.com/crwd-rates,macro,rates,-0.22,66,61,true
XLE,2026-07-05T09:05:00+00:00,Energy sector supported by supply discipline,Sample item: supply discipline and stable demand support energy-sector cash flows.,Atlas Sample News,https://example.com/xle-supply,sector,commodity,0.34,77,70,false
XLE,2026-07-04T16:40:00+00:00,Oil volatility increases around macro headlines,Sample item: oil price swings remain the main tactical risk for energy exposure.,Atlas Sample News,https://example.com/xle-volatility,sector,volatility,-0.28,71,68,true
XLE,2026-07-02T08:45:00+00:00,Energy dividend quality remains attractive,Sample item: cash-return discipline supports defensive allocation use cases.,Atlas Sample News,https://example.com/xle-dividend,sector,income,0.25,62,58,false
MARKET,2026-07-05T07:00:00+00:00,US equities show constructive breadth,Sample item: breadth improves across large-cap growth and quality sectors.,Atlas Sample News,https://example.com/market-breadth,market,market_breadth,0.38,86,75,false
MARKET,2026-07-05T06:30:00+00:00,VIX remains contained,Sample item: volatility conditions remain supportive for measured risk-taking.,Atlas Sample News,https://example.com/vix-contained,market,volatility,0.25,78,70,false
MARKET,2026-07-04T18:30:00+00:00,Fed commentary keeps rates in focus,Sample item: rate expectations remain a key variable for growth and quality stocks.,Atlas Sample News,https://example.com/fed-rates,macro,central_bank,-0.10,73,66,false
